Feature,dMPFC_r,lAI_r,lDLPFC_r,lIPL_r,lTPJ_r,Precuneus_r,rAI_r,rIFG_r,rTPJ_r
Pitch Monitor/Discrimination,-0.0275757772703265,-0.0105180244558839,-0.0195318035821488,-0.0212748416571367,-0.017775119592617,-0.0045739759467631,-0.0093428905201787,0.0250210679389181,0.0040982263806158
Pointing,-0.0081628364955892,-0.0256453313922716,-0.0023406405939039,0.026469684725668,0.0060653971193004,0.0211751315394438,-0.026928900642169,-0.0039329084318443,-0.0109913479145289
Reading (Covert),-0.000378500012186,0.0038470086259677,0.0593248340530939,0.0120122355264874,0.0369400048636813,-0.0089390296550089,0.0023336313007653,0.0254378435197881,-0.0048793947515779
Reading (Overt),-0.0185841847192974,0.0025312520850272,0.0320128803002401,0.0082117514298699,0.0116363855040481,0.0066292426881856,0.003834893998764,0.0127357909878545,0.0244424904106272
Reasoning/Problem Solving,-0.0030427087458767,-0.0054837365630879,-0.0089420103585982,0.0278992368495609,0.0174795383892452,0.0253710451789858,-0.002257641646341,0.0097447957543736,-0.008717072970877
Recitation/Repetition (Covert),0.0071718514508287,0.0281230870270188,0.0039065340341186,-0.014874202781303,-0.0125881892116749,-0.0120730057988621,0.0063772127353998,-0.0055946768923723,0.023209170676507
Recitation/Repetition (Overt),0.0035319338872317,0.0251254043815707,-0.0011462379541221,-0.0005062958938,-0.0181459423019826,-0.0252548376704398,0.0123405160885054,-0.0094377614112008,-0.0036128528995513
Rest,-0.0196878510800124,-0.0006130249439716,-0.0245427436073569,-0.0188034528959242,-0.0074316303417535,-0.0150843181715268,-0.0141726651962254,-0.0135124191553973,-0.0122347587300708
Reward,0.0471730132375402,0.0275478282928502,-0.0616282335505095,-0.0267662276117683,-0.0039218557933293,-0.0293631768801335,0.0492144050798272,-0.0542575731159911,-0.0571824604541705
Saccades,-0.0365777570451523,-0.0175517335024123,-0.0249240240776478,0.0439437428535691,-0.0104091819862476,0.0340419925045062,-0.0278233636305968,-0.0282018988553048,0.016621862831306
Self-Reflection,0.0327963302024215,-0.0007409858709332,-0.0177571704453442,-0.0122779129847079,-0.0119406385643002,0.1136566563607208,-0.0049156596828755,-0.0168967165000027,-0.0107912954320441
Semantic Monitor/Discrimination,0.0070838949801263,0.0291043980519416,0.0404182095433671,-0.012753571104932,0.0425741701304079,0.0307690667031389,-0.0035475489633614,0.0024906792646003,-0.0312303810547376
