Feature,aMPFC_likeFwrd,aMPFC_zRvrs,aMPFC_probRvrs,dACC_likeFwrd,dACC_zRvrs,dACC_probRvrs,dMPFC_likeFwrd,dMPFC_zRvrs,dMPFC_probRvrs,lAI_likeFwrd,lAI_zRvrs,lAI_probRvrs,ldLPFC_likeFwrd,ldLPFC_zRvrs,ldLPFC_probRvrs,lIPL_likeFwrd,lIPL_zRvrs,lIPL_probRvrs,lTPJ_likeFwrd,lTPJ_zRvrs,lTPJ_probRvrs,pACC_likeFwrd,pACC_zRvrs,pACC_probRvrs,PCC_likeFwrd,PCC_zRvrs,PCC_probRvrs,rAI_likeFwrd,rAI_zRvrs,rAI_probRvrs,rdLPFC_likeFwrd,rdLPFC_zRvrs,rdLPFC_probRvrs,rIFG_likeFwrd,rIFG_zRvrs,rIFG_probRvrs,rIPL_likeFwrd,rIPL_zRvrs,rIPL_probRvrs,rTPJ_likeFwrd,rTPJ_zRvrs,rTPJ_probRvrs
Imagined Movement,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,1.21242621970201,0.0,0.001155914775238,0.3361373974494354,-0.0,0.000322937720684,0.8578721309138966,-0.0,0.0008622620791108,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,1.3191807296128788,0.0,0.0012979378557065,0.0,-0.0,0.0,0.0,-0.0,0.0
Imagined Objects/Scenes,0.0,-0.0,0.0,0.0,-0.0,0.0,0.883921181213788,-0.0,0.0010895841366055,1.7576236204482256,0.0,0.0020148302536255,1.0964022343901791,0.0,0.0012665255113281,0.0,-0.0,0.0,3.8008610792192887,0.0,0.0049752752528306,0.0,-0.0,0.0,2.8154526512735467,0.0,0.003543428196478,1.1179003174174378,0.0,0.001439928020348,0.0,-0.0,0.0,0.0,-0.0,0.0,2.235800634834876,0.0,0.0028515412189152,4.343841233393472,0.0,0.0056050783460998
Isometric Force,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.9417814064633592,-0.0,0.0002154283047955,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
Lexical Decision,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
Luminance,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
Magnitude Comparison (Non-symbolic),0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
Magnitude Comparison (Symbolic),0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
Meditation,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,9.813398547502592,0.0,0.0007796661625003,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
Mental Rotation,0.0,-0.0,0.0,0.0,-0.0,0.0,0.8234174853873897,-0.0,0.001175795527178,0.4093289233717659,-0.0,0.0005435625209303,0.3404514603044015,-0.0,0.0004555790236067,0.8688822545192086,-0.0,0.0012164219009855,0.0,-0.0,0.0,2.8325561497326204,0.0,0.0042475005871533,0.0,-0.0,0.0,2.0827618748033974,0.0,0.0031077194847166,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
Micturition,0.0,-0.0,0.0,0.0,-0.0,0.0,3.4066165877752623,0.0,0.0010394153410403,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
